Timestamp,Heart Rate(bpm),HRV(ms)
Apr 18 2024  6:13:15,58,133.08569
Apr 18 2024  6:13:18,73,133.8118935
Apr 18 2024  6:13:21,57,NaN
Apr 18 2024  6:13:24,75,104.5540873
Apr 18 2024  6:13:27,78,100.6864849
Apr 18 2024  6:13:39,57,99.79661301
Apr 18 2024  6:13:42,57,100.0434928
Apr 18 2024  6:13:45,74,102.638505
Apr 18 2024  6:13:48,73,103.680417
Apr 18 2024  6:13:51,75,97.82391106
Apr 18 2024  6:13:57,67,NaN
Apr 18 2024  6:14:0,58,NaN
Apr 18 2024  6:14:3,72,NaN
Apr 18 2024  6:14:6,74,NaN
Apr 18 2024  6:14:9,73,NaN
Apr 18 2024  6:14:12,72,NaN
Apr 18 2024  6:14:15,73,NaN
Apr 18 2024  6:14:30,58,97.02360031
Apr 18 2024  6:14:36,73,NaN
Apr 18 2024  6:14:45,71,96.08606408
Apr 18 2024  6:14:57,61,NaN
Apr 18 2024  6:15:0,70,92.21201887
Apr 18 2024  6:15:6,63,91.53597207
Apr 18 2024  6:15:12,69,NaN
Apr 18 2024  6:15:15,70,NaN
Apr 18 2024  6:15:18,70,93.31608098
Apr 18 2024  6:15:21,73,93.82451663
Apr 18 2024  6:15:24,75,NaN
Apr 18 2024  6:15:27,72,88.74309919
Apr 18 2024  6:15:30,63,NaN
Apr 18 2024  6:15:33,73,85.05788769
Apr 18 2024  6:15:36,58,NaN
Apr 18 2024  6:15:39,70,80.69408921
Apr 18 2024  6:15:42,74,80.42615621
Apr 18 2024  6:15:45,76,NaN
Apr 18 2024  6:15:48,63,72.64463302
Apr 18 2024  6:15:51,70,67.65235185
Apr 18 2024  6:15:54,75,NaN
Apr 18 2024  6:15:57,73,66.35059132
Apr 18 2024  6:16:0,75,67.14255003
Apr 18 2024  6:16:3,69,NaN
Apr 18 2024  6:16:6,72,64.0741836
Apr 18 2024  6:16:9,79,63.38296399
Apr 18 2024  6:16:12,78,NaN
Apr 18 2024  6:16:15,74,62.31055912
Apr 18 2024  6:16:18,68,60.934486
Apr 18 2024  6:16:21,74,56.61758133
Apr 18 2024  6:16:24,56,NaN
Apr 18 2024  6:16:27,74,66.05115876
Apr 18 2024  6:16:30,75,NaN
Apr 18 2024  6:16:33,58,71.71393773
Apr 18 2024  6:16:36,97,NaN
Apr 18 2024  6:16:39,57,134.3556094
Apr 18 2024  6:16:42,76,135.0912905
Apr 18 2024  6:16:45,76,135.0912905
Apr 18 2024  6:16:48,77,NaN
Apr 18 2024  6:16:51,88,NaN
Apr 18 2024  6:16:54,73,NaN
Apr 18 2024  6:16:57,78,NaN
Apr 18 2024  6:17:0,73,NaN
Apr 18 2024  6:17:3,76,135.4608846
Apr 18 2024  6:17:6,69,NaN
Apr 18 2024  6:17:9,72,135.6802099
Apr 18 2024  6:17:12,73,136.0401093
Apr 18 2024  6:17:15,71,NaN
Apr 18 2024  6:17:18,57,137.3147855
Apr 18 2024  6:17:21,72,NaN
Apr 18 2024  6:17:24,73,138.061819
Apr 18 2024  6:17:27,58,137.4382376
Apr 18 2024  6:17:30,74,NaN
Apr 18 2024  6:17:33,68,137.1462626
Apr 18 2024  6:17:36,57,136.9083734
Apr 18 2024  6:17:39,74,NaN
Apr 18 2024  6:17:42,58,NaN
Apr 18 2024  6:17:45,76,135.3421385
Apr 18 2024  6:17:48,77,NaN
Apr 18 2024  6:17:51,76,138.6333544
Apr 18 2024  6:17:54,75,139.5486241
Apr 18 2024  6:17:57,75,NaN
Apr 18 2024  6:18:0,73,NaN
Apr 18 2024  6:18:3,58,119.6676962
Apr 18 2024  6:18:6,69,NaN
Apr 18 2024  6:18:9,66,85.74904919
Apr 18 2024  6:18:12,57,NaN
Apr 18 2024  6:18:15,81,90.95423367
Apr 18 2024  6:18:18,63,NaN
Apr 18 2024  6:18:21,66,93.43637779
Apr 18 2024  6:18:24,70,NaN
Apr 18 2024  6:18:33,68,NaN
Apr 18 2024  6:18:42,75,NaN
Apr 18 2024  6:18:45,76,NaN
Apr 18 2024  6:18:48,77,96.32644845
Apr 18 2024  6:18:51,65,NaN
Apr 18 2024  6:18:54,57,93.55181137
Apr 18 2024  6:18:57,58,NaN
Apr 18 2024  6:19:0,73,94.4048993
Apr 18 2024  6:19:3,70,NaN
Apr 18 2024  6:19:6,72,93.18381149
Apr 18 2024  6:19:9,75,NaN
Apr 18 2024  6:19:12,75,NaN
Apr 18 2024  6:19:15,77,93.63652903
Apr 18 2024  6:19:18,73,NaN
Apr 18 2024  6:19:21,71,NaN
Apr 18 2024  6:19:27,69,82.16818686
Apr 18 2024  6:19:33,68,82.16818686
Apr 18 2024  6:19:48,73,81.39254059
Apr 18 2024  6:19:54,69,80.65859828
Apr 18 2024  6:20:9,75,NaN
Apr 18 2024  6:20:12,58,NaN
Apr 18 2024  6:20:15,86,NaN
Apr 18 2024  6:20:18,69,NaN
Apr 18 2024  6:20:21,73,99.56018279
Apr 18 2024  6:20:24,74,100.5463872
Apr 18 2024  6:20:27,74,NaN
Apr 18 2024  6:20:30,75,86.92002621
Apr 18 2024  6:20:33,69,86.71453223
Apr 18 2024  6:20:36,76,NaN
Apr 18 2024  6:20:39,77,87.00613832
Apr 18 2024  6:20:42,78,87.64174356
Apr 18 2024  6:20:45,65,NaN
Apr 18 2024  6:20:48,72,88.09293959
Apr 18 2024  6:20:51,56,90.37362487
Apr 18 2024  6:20:54,74,95.00723999
Apr 18 2024  6:20:57,73,NaN
Apr 18 2024  6:21:0,71,92.99689713
Apr 18 2024  6:21:3,68,NaN
Apr 18 2024  6:21:6,57,NaN
Apr 18 2024  6:21:9,67,93.24288355
Apr 18 2024  6:21:12,74,NaN
Apr 18 2024  6:21:15,58,93.60594538
Apr 18 2024  6:21:18,72,NaN
Apr 18 2024  6:21:21,71,NaN
Apr 18 2024  6:21:24,74,94.72631429
Apr 18 2024  6:21:27,74,NaN
Apr 18 2024  6:21:39,71,95.67947758
Apr 18 2024  6:21:48,72,NaN
Apr 18 2024  6:21:51,74,NaN
Apr 18 2024  6:21:54,73,NaN
Apr 18 2024  6:21:57,76,NaN
Apr 18 2024  6:22:0,73,73.37168573
Apr 18 2024  6:22:3,77,NaN
Apr 18 2024  6:22:6,99,NaN
Apr 18 2024  6:22:9,73,95.23647193
Apr 18 2024  6:22:12,71,94.86572027
Apr 18 2024  6:22:15,74,NaN
Apr 18 2024  6:22:27,71,NaN
Apr 18 2024  6:22:30,72,95.86345906
Apr 18 2024  6:22:33,72,NaN
Apr 18 2024  6:22:36,67,95.00955823
Apr 18 2024  6:22:39,72,NaN
Apr 18 2024  6:22:42,58,NaN
Apr 18 2024  6:22:45,71,90.70689706
Apr 18 2024  6:22:48,72,NaN
Apr 18 2024  6:22:51,63,90.31511483
Apr 18 2024  6:22:54,71,89.96080718
Apr 18 2024  6:22:57,74,NaN
Apr 18 2024  6:23:0,81,89.16649543
Apr 18 2024  6:23:3,71,NaN
Apr 18 2024  6:23:6,68,NaN
Apr 18 2024  6:23:9,58,84.5722764
Apr 18 2024  6:23:12,63,NaN
Apr 18 2024  6:23:15,79,NaN
Apr 18 2024  6:23:18,71,85.59479641
Apr 18 2024  6:23:21,73,NaN
Apr 18 2024  6:23:24,77,NaN
